modelo,log_loss,brier,rps,acierto_%
XGBoost Poisson (completo),1.0275092889307154,0.5948289436239382,0.21195168670971248,54.6875
Baseline Poisson solo-Elo,1.0767516218825983,0.652851213345019,0.23641270238601692,32.8125
Uniforme (azar),1.0986122886681098,0.6666666666666669,0.23871527777777782,43.75
