bin,n,prob_media,freq_real
0.03-0.19,13,0.132,0.385
0.19-0.38,13,0.273,0.077
0.38-0.49,12,0.431,0.333
0.49-0.56,13,0.526,0.615
0.56-0.82,13,0.675,0.769
