date,home_fm,away_fm,xg_home,xg_away,score,team_home,team_away,match_id
2024-06-18,Turkiye,Georgia,3.01,1.37,3 - 1,Turkey,Georgia,4043868
2024-06-18,Portugal,Czechia,1.85,0.43,2 - 1,Portugal,Czech Republic,4043867
2024-06-19,Croatia,Albania,2.68,1.46,2 - 2,Croatia,Albania,4043845
2024-06-19,Germany,Hungary,1.4,1.18,2 - 0,Germany,Hungary,4043840
2024-06-19,Scotland,Switzerland,0.76,1.13,1 - 1,Scotland,Switzerland,4043839
2024-06-20,Slovenia,Serbia,1.37,1.64,1 - 1,Slovenia,Serbia,4043852
2024-06-20,Denmark,England,0.82,0.87,1 - 1,Denmark,England,4043851
2024-06-20,Spain,Italy,2.02,0.16,1 - 0,Spain,Italy,4043846
2024-06-21,Poland,Austria,1.68,2.13,1 - 3,Poland,Austria,4043857
2024-06-21,Netherlands,France,0.47,1.43,0 - 0,Netherlands,France,4043858
2024-06-21,Argentina,Canada,3.02,1.16,2 - 0,Argentina,Canada,4407860
2024-06-22,Georgia,Czechia,1.11,3.07,1 - 1,Georgia,Czech Republic,4043869
2024-06-22,Turkiye,Portugal,0.72,1.86,0 - 3,Turkey,Portugal,4043870
2024-06-22,Belgium,Romania,1.76,0.94,2 - 0,Belgium,Romania,4043864
2024-06-22,Ecuador,Venezuela,0.86,1.69,1 - 2,Ecuador,Venezuela,4377176
2024-06-23,Scotland,Hungary,0.17,1.22,0 - 1,Scotland,Hungary,4043842
2024-06-23,Switzerland,Germany,0.6,1.56,1 - 1,Switzerland,Germany,4043841
2024-06-23,Mexico,Jamaica,0.97,0.51,1 - 0,Mexico,Jamaica,4377175
2024-06-23,USA,Bolivia,2.51,0.18,2 - 0,United States,Bolivia,4377205
2024-06-24,Albania,Spain,0.48,1.51,0 - 1,Albania,Spain,4043848
2024-06-24,Croatia,Italy,1.49,0.9,1 - 1,Croatia,Italy,4043847
2024-06-24,Uruguay,Panama,1.55,0.56,3 - 1,Uruguay,Panama,4377204
2024-06-24,Colombia,Paraguay,0.71,0.81,2 - 1,Colombia,Paraguay,4377210
2024-06-25,France,Poland,2.32,1.16,1 - 1,France,Poland,4043860
2024-06-25,Netherlands,Austria,1.73,0.95,2 - 3,Netherlands,Austria,4043859
2024-06-25,Denmark,Serbia,0.67,0.29,0 - 0,Denmark,Serbia,4043854
2024-06-25,England,Slovenia,0.8,0.15,0 - 0,England,Slovenia,4043853
2024-06-25,Brazil,Costa Rica,1.71,0.03,0 - 0,Brazil,Costa Rica,4407876
2024-06-25,Peru,Canada,0.81,1.78,0 - 1,Peru,Canada,4407861
2024-06-26,Ukraine,Belgium,0.82,0.88,0 - 0,Ukraine,Belgium,4043866
2024-06-26,Czechia,Turkiye,1.62,1.46,1 - 2,Czech Republic,Turkey,4043872
2024-06-26,Georgia,Portugal,1.65,2.04,2 - 0,Georgia,Portugal,4043871
2024-06-26,Chile,Argentina,0.12,2.72,0 - 1,Chile,Argentina,4377171
2024-06-26,Ecuador,Jamaica,2.45,0.81,3 - 1,Ecuador,Jamaica,4377177
2024-06-27,Venezuela,Mexico,1.17,2.88,1 - 0,Venezuela,Mexico,4377178
2024-06-27,Panama,USA,0.77,1.08,2 - 1,Panama,United States,4377207
2024-06-28,Uruguay,Bolivia,2.93,0.06,5 - 0,Uruguay,Bolivia,4377206
2024-06-28,Colombia,Costa Rica,2.9,0.15,3 - 0,Colombia,Costa Rica,4407877
2024-06-29,Switzerland,Italy,1.25,0.73,2 - 0,Switzerland,Italy,4043971
2024-06-29,Germany,Denmark,2.58,1.18,2 - 0,Germany,Denmark,4043970
2024-06-29,Paraguay,Brazil,0.87,3.74,1 - 4,Paraguay,Brazil,4377211
2024-06-30,England,Slovakia,1.52,2.15,2 - 1,England,Slovakia,4043973
2024-06-30,Spain,Georgia,3.36,0.25,4 - 1,Spain,Georgia,4043972
2024-06-30,Argentina,Peru,2.29,0.14,2 - 0,Argentina,Peru,4377172
2024-06-30,Canada,Chile,1.08,0.54,0 - 0,Canada,Chile,4407862
2024-07-01,France,Belgium,1.06,0.23,1 - 0,France,Belgium,4043975
2024-07-01,Portugal,Slovenia,1.97,0.6,0 - 0,Portugal,Slovenia,4043974
2024-07-01,Mexico,Ecuador,1.01,0.4,0 - 0,Mexico,Ecuador,4377180
2024-07-02,Romania,Netherlands,0.28,2.93,0 - 3,Romania,Netherlands,4043976
2024-07-02,Austria,Turkiye,3.14,0.92,1 - 2,Austria,Turkey,4043977
2024-07-02,Bolivia,Panama,0.72,1.23,1 - 3,Bolivia,Panama,4377208
2024-07-02,USA,Uruguay,0.49,1.53,0 - 1,United States,Uruguay,4377209
2024-07-05,Spain,Germany,1.41,2.15,2 - 1,Spain,Germany,4043979
2024-07-05,Portugal,France,1.84,1.14,0 - 0,Portugal,France,4043980
2024-07-05,Argentina,Ecuador,0.87,1.73,1 - 1,Argentina,Ecuador,4407868
2024-07-06,England,Switzerland,0.65,1.47,1 - 1,England,Switzerland,4043982
2024-07-06,Netherlands,Turkiye,1.09,1.31,2 - 1,Netherlands,Turkey,4043981
2024-07-06,Venezuela,Canada,0.86,1.65,1 - 1,Venezuela,Canada,4407869
2024-07-06,Colombia,Panama,2.25,0.52,5 - 0,Colombia,Panama,4407871
2024-07-09,Spain,France,0.75,1.1,2 - 1,Spain,France,4043983
2024-07-10,Netherlands,England,0.54,1.25,1 - 2,Netherlands,England,4043984
2024-07-10,Argentina,Canada,2.2,0.78,2 - 0,Argentina,Canada,4407872
2024-07-14,Spain,England,1.95,0.53,2 - 1,Spain,England,4043985
2024-07-14,Canada,Uruguay,1.9,1.59,2 - 2,Canada,Uruguay,4407874
2024-09-05,Portugal,Croatia,1.23,0.81,2 - 1,Portugal,Croatia,4421964
2024-09-05,Scotland,Poland,0.95,1.86,2 - 3,Scotland,Poland,4421965
2024-09-05,Denmark,Switzerland,1.5,0.44,2 - 0,Denmark,Switzerland,4422025
2024-09-05,Serbia,Spain,1.24,1.39,0 - 0,Serbia,Spain,4422026
2024-09-05,Azerbaijan,Sweden,3.88,4.04,1 - 3,Azerbaijan,Sweden,4422001
2024-09-06,Belgium,Israel,3.61,0.59,3 - 1,Belgium,Israel,4421977
2024-09-06,France,Italy,1.05,1.74,1 - 3,France,Italy,4421978
2024-09-06,Kazakhstan,Norway,0.21,1.57,0 - 0,Kazakhstan,Norway,4422043
2024-09-06,Slovenia,Austria,1.16,0.92,1 - 1,Slovenia,Austria,4422044
2024-09-06,Wales,Turkiye,2.49,0.79,0 - 0,Wales,Turkey,4422069
2024-09-07,Germany,Hungary,3.71,1.13,5 - 0,Germany,Hungary,4422013
2024-09-07,Netherlands,Bosnia and Herzegovina,4.09,1.13,5 - 2,Netherlands,Bosnia and Herzegovina,4422014
2024-09-07,Georgia,Czechia,2.02,0.55,4 - 1,Georgia,Czech Republic,4421952
2024-09-07,Ireland,England,0.65,2.67,0 - 2,Republic of Ireland,England,4421989
2024-09-08,Denmark,Serbia,0.9,0.26,2 - 0,Denmark,Serbia,4422027
2024-09-08,Switzerland,Spain,1.41,2.08,1 - 4,Switzerland,Spain,4422028
2024-09-08,Croatia,Poland,1.56,1.02,1 - 0,Croatia,Poland,4421966
2024-09-08,Portugal,Scotland,3.1,0.65,2 - 1,Portugal,Scotland,4421967
2024-09-08,Sweden,Estonia,3.48,0.95,3 - 0,Sweden,Estonia,4422004
2024-09-09,France,Belgium,1.77,0.56,2 - 0,France,Belgium,4421979
2024-09-09,Norway,Austria,0.85,0.85,2 - 1,Norway,Austria,4422045
2024-09-09,Montenegro,Wales,2.58,1.34,1 - 2,Montenegro,Wales,4422070
2024-09-09,Turkiye,Iceland,1.62,0.5,3 - 1,Turkey,Iceland,4422071
2024-09-10,Hungary,Bosnia and Herzegovina,1.39,0.34,0 - 0,Hungary,Bosnia and Herzegovina,4422015
2024-09-10,Netherlands,Germany,2.33,2.94,2 - 2,Netherlands,Germany,4422016
2024-09-10,Czechia,Ukraine,2.4,2.19,3 - 2,Czech Republic,Ukraine,4421955
2024-09-10,England,Finland,1.63,0.09,2 - 0,England,Finland,4421991
2024-10-10,Israel,France,0.09,1.32,1 - 4,Israel,France,4421981
2024-10-10,Italy,Belgium,1.84,0.95,2 - 2,Italy,Belgium,4421982
2024-10-10,England,Greece,0.84,0.74,1 - 2,England,Greece,4421993
2024-10-10,Austria,Kazakhstan,3.24,0.17,4 - 0,Austria,Kazakhstan,4422047
2024-10-10,Norway,Slovenia,2.33,0.79,3 - 0,Norway,Slovenia,4422048
2024-10-11,Bosnia and Herzegovina,Germany,0.45,1.81,1 - 2,Bosnia and Herzegovina,Germany,4422017
2024-10-11,Hungary,Netherlands,0.42,1.23,1 - 1,Hungary,Netherlands,4422018
2024-10-11,Czechia,Albania,1.49,0.28,2 - 0,Czech Republic,Albania,4421956
2024-10-11,Iceland,Wales,1.17,2.4,2 - 2,Iceland,Wales,4422072
2024-10-11,Turkiye,Montenegro,2.99,0.62,1 - 0,Turkey,Montenegro,4422073
2024-10-11,Slovakia,Sweden,1.84,2.1,2 - 2,Slovakia,Sweden,4422006
2024-10-12,Croatia,Scotland,1.25,0.91,2 - 1,Croatia,Scotland,4421968
2024-10-12,Poland,Portugal,0.89,3.01,1 - 3,Poland,Portugal,4421969
2024-10-12,Serbia,Switzerland,0.66,1.6,2 - 0,Serbia,Switzerland,4422029
2024-10-12,Spain,Denmark,1.64,0.1,1 - 0,Spain,Denmark,4422030
2024-10-13,Austria,Norway,2.28,0.8,5 - 1,Austria,Norway,4422050
2024-10-13,Finland,England,1.24,1.62,1 - 3,Finland,England,4421995
2024-10-14,Belgium,France,2.69,1.49,1 - 2,Belgium,France,4421983
2024-10-14,Bosnia and Herzegovina,Hungary,0.65,1.37,0 - 2,Bosnia and Herzegovina,Hungary,4422019
2024-10-14,Germany,Netherlands,0.91,0.13,1 - 0,Germany,Netherlands,4422020
2024-10-14,Ukraine,Czechia,1.55,1.01,1 - 1,Ukraine,Czech Republic,4421959
2024-10-14,Iceland,Turkiye,1.11,3.03,2 - 4,Iceland,Turkey,4422074
2024-10-14,Wales,Montenegro,1.7,0.26,1 - 0,Wales,Montenegro,4422075
2024-10-14,Estonia,Sweden,0.27,2.49,0 - 3,Estonia,Sweden,4422008
2024-10-15,Poland,Croatia,1.27,1.27,3 - 3,Poland,Croatia,4421970
2024-10-15,Scotland,Portugal,0.43,1.47,0 - 0,Scotland,Portugal,4421971
2024-10-15,Spain,Serbia,2.92,0.37,3 - 0,Spain,Serbia,4422031
2024-10-15,Switzerland,Denmark,2.13,1.15,2 - 2,Switzerland,Denmark,4422032
2024-11-14,Belgium,Italy,0.52,2.48,0 - 1,Belgium,Italy,4421985
2024-11-14,France,Israel,2.22,0.05,0 - 0,France,Israel,4421986
2024-11-14,Kazakhstan,Austria,0.1,2.7,0 - 2,Kazakhstan,Austria,4422051
2024-11-14,Slovenia,Norway,1.56,1.6,1 - 4,Slovenia,Norway,4422052
2024-11-14,Greece,England,0.57,1.21,0 - 3,Greece,England,4421997
2024-11-15,Portugal,Poland,3.19,0.69,5 - 1,Portugal,Poland,4421972
2024-11-15,Scotland,Croatia,0.88,1.36,1 - 0,Scotland,Croatia,4421973
2024-11-15,Denmark,Spain,0.59,1.8,1 - 2,Denmark,Spain,4422033
2024-11-15,Switzerland,Serbia,2.4,1.53,1 - 1,Switzerland,Serbia,4422034
2024-11-16,Germany,Bosnia and Herzegovina,4.03,0.46,7 - 0,Germany,Bosnia and Herzegovina,4422021
2024-11-16,Netherlands,Hungary,3.12,1.33,4 - 0,Netherlands,Hungary,4422022
2024-11-16,Albania,Czechia,0.36,0.4,0 - 0,Albania,Czech Republic,4421961
2024-11-16,Turkiye,Wales,3.02,0.24,0 - 0,Turkey,Wales,4422077
2024-11-16,Sweden,Slovakia,2.14,0.48,2 - 1,Sweden,Slovakia,4422010
2024-11-17,Israel,Belgium,0.85,0.83,1 - 0,Israel,Belgium,4421987
2024-11-17,Italy,France,0.66,0.39,1 - 3,Italy,France,4421988
2024-11-17,England,Ireland,3.87,0.04,5 - 0,England,Republic of Ireland,4421999
2024-11-17,Austria,Slovenia,2.29,0.69,1 - 1,Austria,Slovenia,4422053
2024-11-17,Norway,Kazakhstan,2.23,0.3,5 - 0,Norway,Kazakhstan,4422054
2024-11-18,Croatia,Portugal,2.14,1.31,1 - 1,Croatia,Portugal,4421974
2024-11-18,Poland,Scotland,1.46,1.48,1 - 2,Poland,Scotland,4421975
2024-11-18,Serbia,Denmark,1.91,0.41,0 - 0,Serbia,Denmark,4422035
2024-11-18,Spain,Switzerland,3.33,1.45,3 - 2,Spain,Switzerland,4422036
2024-11-19,Bosnia and Herzegovina,Netherlands,0.54,1.29,1 - 1,Bosnia and Herzegovina,Netherlands,4422023
2024-11-19,Hungary,Germany,2.01,1.25,1 - 1,Hungary,Germany,4422024
2024-11-19,Czechia,Georgia,1.63,1.27,2 - 1,Czech Republic,Georgia,4421963
2024-11-19,Montenegro,Turkiye,0.87,1.63,3 - 1,Montenegro,Turkey,4422078
2024-11-19,Wales,Iceland,1.68,1.53,4 - 1,Wales,Iceland,4422079
2024-11-19,Sweden,Azerbaijan,4.48,0.08,6 - 0,Sweden,Azerbaijan,4422012
2025-03-20,Croatia,France,1.43,1.32,2 - 0,Croatia,France,4679443
2025-03-20,Denmark,Portugal,2.78,0.51,1 - 0,Denmark,Portugal,4679445
2025-03-20,Italy,Germany,0.87,1.0,1 - 2,Italy,Germany,4679447
2025-03-20,Netherlands,Spain,0.61,1.4,2 - 2,Netherlands,Spain,4679441
2025-03-20,Turkiye,Hungary,0.73,1.31,3 - 1,Turkey,Hungary,4679425
2025-03-20,Austria,Serbia,1.8,0.36,1 - 1,Austria,Serbia,4679429
2025-03-20,Greece,Scotland,2.74,1.4,0 - 1,Greece,Scotland,4679431
2025-03-20,Ukraine,Belgium,2.82,0.59,3 - 1,Ukraine,Belgium,4679427
2025-03-21,Romania,Bosnia and Herzegovina,1.8,0.95,0 - 1,Romania,Bosnia and Herzegovina,4689298
2025-03-21,Poland,Lithuania,2.27,0.75,1 - 0,Poland,Lithuania,4689262
2025-03-21,England,Albania,1.48,0.06,2 - 0,England,Albania,4689384
2025-03-22,Wales,Kazakhstan,1.96,1.04,3 - 1,Wales,Kazakhstan,4689420
2025-03-22,Moldova,Norway,0.76,2.95,0 - 5,Moldova,Norway,4689454
2025-03-22,Czechia,Faroe Islands,2.19,0.38,2 - 1,Czech Republic,Faroe Islands,4689364
2025-03-23,France,Croatia,3.17,0.18,2 - 0,France,Croatia,4679444
2025-03-23,Germany,Italy,3.5,1.38,3 - 3,Germany,Italy,4679448
2025-03-23,Portugal,Denmark,3.33,1.98,5 - 2,Portugal,Denmark,4679446
2025-03-23,Spain,Netherlands,3.19,2.79,3 - 3,Spain,Netherlands,4679442
2025-03-23,Hungary,Turkiye,1.73,1.5,0 - 3,Hungary,Turkey,4679426
2025-03-23,Scotland,Greece,0.98,1.36,0 - 3,Scotland,Greece,4679432
2025-03-23,Serbia,Austria,1.34,1.1,2 - 0,Serbia,Austria,4679430
2025-03-23,Belgium,Ukraine,2.65,0.63,3 - 0,Belgium,Ukraine,4679428
2025-03-24,Poland,Malta,2.91,0.19,2 - 0,Poland,Malta,4689264
2025-03-24,Bosnia and Herzegovina,Cyprus,1.12,1.39,2 - 1,Bosnia and Herzegovina,Cyprus,4689299
2025-03-24,England,Latvia,3.57,0.31,3 - 0,England,Latvia,4689401
2025-03-25,Israel,Norway,0.61,3.96,2 - 4,Israel,Norway,4689456
2025-03-25,North Macedonia,Wales,0.96,0.85,1 - 1,North Macedonia,Wales,4689422
2025-03-25,Gibraltar,Czechia,0.01,4.47,0 - 4,Gibraltar,Czech Republic,4689365
2025-06-04,Germany,Portugal,1.11,2.92,1 - 2,Germany,Portugal,4679451
2025-06-05,Spain,France,2.91,2.74,5 - 4,Spain,France,4679452
2025-06-06,Norway,Italy,1.53,0.38,3 - 0,Norway,Italy,4689480
2025-06-06,North Macedonia,Belgium,1.29,2.11,1 - 1,North Macedonia,Belgium,4689438
2025-06-06,Wales,Liechtenstein,2.61,0.0,3 - 0,Wales,Liechtenstein,4689439
2025-06-06,Czechia,Montenegro,1.35,0.67,2 - 0,Czech Republic,Montenegro,4689367
2025-06-06,Gibraltar,Croatia,0.25,5.81,0 - 7,Gibraltar,Croatia,4689368
2025-06-07,Bosnia and Herzegovina,San Marino,2.93,0.18,1 - 0,Bosnia and Herzegovina,San Marino,4689301
2025-06-07,Austria,Romania,1.28,0.71,2 - 1,Austria,Romania,4689302
2025-06-07,Finland,Netherlands,0.2,2.15,0 - 2,Finland,Netherlands,4689266
2025-06-07,Andorra,England,0.3,4.0,0 - 1,Andorra,England,4689402
2025-06-07,Albania,Serbia,1.08,0.53,0 - 0,Albania,Serbia,4689403
2025-06-08,Germany,France,2.48,2.35,0 - 2,Germany,France,4679453
2025-06-08,Portugal,Spain,1.0,2.14,2 - 2,Portugal,Spain,4679454
2025-06-09,Belgium,Wales,2.89,2.25,4 - 3,Belgium,Wales,4689441
2025-06-09,Estonia,Norway,0.23,2.99,0 - 1,Estonia,Norway,4689481
2025-06-09,Croatia,Czechia,3.63,1.39,5 - 1,Croatia,Czech Republic,4689370
2025-06-10,Finland,Poland,2.47,1.51,2 - 1,Finland,Poland,4689267
2025-06-10,Netherlands,Malta,4.52,0.16,8 - 0,Netherlands,Malta,4689268
2025-06-10,San Marino,Austria,0.54,4.26,0 - 4,San Marino,Austria,4689304
2025-06-10,Serbia,Andorra,2.8,0.31,3 - 0,Serbia,Andorra,4689405
2025-06-15,Mexico,Dominican Republic,1.45,0.74,3 - 2,Mexico,Dominican Republic,4772410
2025-06-15,USA,Trinidad and Tobago,3.5,0.23,5 - 0,United States,Trinidad and Tobago,4772437
2025-06-16,Haiti,Saudi Arabia,0.7,1.33,0 - 1,Haiti,Saudi Arabia,4772438
2025-06-16,Costa Rica,Suriname,2.6,2.37,4 - 3,Costa Rica,Suriname,4772411
2025-06-16,Panama,Guadeloupe,4.65,1.95,5 - 2,Panama,Guadeloupe,4772431
2025-06-18,Curacao,El Salvador,0.92,0.17,0 - 0,Curaçao,El Salvador,4772422
2025-06-18,Canada,Honduras,4.9,0.89,6 - 0,Canada,Honduras,4772423
2025-06-18,Costa Rica,Dominican Republic,1.65,1.29,2 - 1,Costa Rica,Dominican Republic,4772412
2025-06-19,Suriname,Mexico,0.18,1.31,0 - 2,Suriname,Mexico,4772413
2025-06-19,Trinidad and Tobago,Haiti,1.15,1.92,1 - 1,Trinidad and Tobago,Haiti,4772439
2025-06-20,Saudi Arabia,USA,0.3,0.83,0 - 1,Saudi Arabia,United States,4772440
2025-06-21,Guatemala,Panama,0.32,1.93,0 - 1,Guatemala,Panama,4772434
2025-06-21,Curacao,Canada,1.02,0.69,1 - 1,Curaçao,Canada,4772424
2025-06-22,Saudi Arabia,Trinidad and Tobago,2.19,0.52,1 - 1,Saudi Arabia,Trinidad and Tobago,4772441
2025-06-22,USA,Haiti,2.69,0.47,2 - 1,United States,Haiti,4772442
2025-06-24,Panama,Jamaica,2.39,2.09,4 - 1,Panama,Jamaica,4772436
2025-06-28,Panama,Honduras,2.22,1.18,1 - 1,Panama,Honduras,4772522
2025-06-29,Mexico,Saudi Arabia,1.41,0.02,2 - 0,Mexico,Saudi Arabia,4772521
2025-06-29,Canada,Guatemala,1.34,0.85,1 - 1,Canada,Guatemala,4772526
2025-06-29,USA,Costa Rica,1.87,1.59,2 - 2,United States,Costa Rica,4772520
2025-07-02,USA,Guatemala,1.69,1.27,2 - 1,United States,Guatemala,4772523
2025-07-06,USA,Mexico,0.62,1.07,1 - 2,United States,Mexico,4772525
2025-09-04,Kazakhstan,Wales,0.81,1.34,0 - 1,Kazakhstan,Wales,4689442
2025-09-04,Liechtenstein,Belgium,0.0,3.13,0 - 6,Liechtenstein,Belgium,4689443
2025-09-04,Georgia,Turkiye,1.13,0.73,2 - 3,Georgia,Turkey,4689339
2025-09-04,Bulgaria,Spain,0.1,3.51,0 - 3,Bulgaria,Spain,4689340
2025-09-04,Netherlands,Poland,1.24,0.3,1 - 1,Netherlands,Poland,4689270
2025-09-04,Slovakia,Germany,1.28,1.74,2 - 0,Slovakia,Germany,4689250
2025-09-04,Suriname,Panama,0.72,1.08,0 - 0,Suriname,Panama,4822523
2025-09-04,Argentina,Venezuela,1.97,0.32,3 - 0,Argentina,Venezuela,4196558
2025-09-04,Colombia,Bolivia,1.44,0.42,3 - 0,Colombia,Bolivia,4196555
2025-09-04,Paraguay,Ecuador,0.63,0.25,0 - 0,Paraguay,Ecuador,4196557
2025-09-04,Uruguay,Peru,2.49,0.46,3 - 0,Uruguay,Peru,4196554
2025-09-05,Slovenia,Sweden,0.75,1.31,2 - 2,Slovenia,Sweden,4689281
2025-09-05,Switzerland,Kosovo,1.59,0.53,4 - 0,Switzerland,Kosovo,4689282
2025-09-05,Denmark,Scotland,1.2,0.62,0 - 0,Denmark,Scotland,4689294
2025-09-05,Ukraine,France,1.34,2.42,0 - 2,Ukraine,France,4689328
2025-09-05,Faroe Islands,Croatia,1.05,2.65,0 - 1,Faroe Islands,Croatia,4689371
2025-09-05,Montenegro,Czechia,1.23,3.25,0 - 2,Montenegro,Czech Republic,4689372
2025-09-05,Brazil,Chile,4.14,0.07,3 - 0,Brazil,Chile,4196556
2025-09-06,Latvia,Serbia,0.7,1.39,0 - 1,Latvia,Serbia,4689406
2025-09-06,England,Andorra,1.94,0.08,2 - 0,England,Andorra,4689407
2025-09-06,Armenia,Portugal,0.18,6.34,0 - 5,Armenia,Portugal,4689351
2025-09-06,Austria,Cyprus,2.14,1.25,1 - 0,Austria,Cyprus,4689305
2025-09-06,San Marino,Bosnia and Herzegovina,0.14,3.61,0 - 6,San Marino,Bosnia and Herzegovina,4689306
2025-09-06,Trinidad and Tobago,Curacao,0.55,0.19,0 - 0,Trinidad and Tobago,Curaçao,4822535
2025-09-06,Haiti,Honduras,1.04,1.03,0 - 0,Haiti,Honduras,4822548
2025-09-06,Nicaragua,Costa Rica,1.01,0.63,1 - 1,Nicaragua,Costa Rica,4822547
2025-09-07,Turkiye,Spain,0.54,2.76,0 - 6,Turkey,Spain,4689342
2025-09-07,Lithuania,Netherlands,0.34,1.12,2 - 3,Lithuania,Netherlands,4689271
2025-09-07,Poland,Finland,2.25,0.26,3 - 1,Poland,Finland,4689272
2025-09-07,Belgium,Kazakhstan,3.62,0.23,6 - 0,Belgium,Kazakhstan,4689445
2025-09-07,Germany,Northern Ireland,2.6,0.28,3 - 1,Germany,Northern Ireland,4689252
2025-09-08,Kosovo,Sweden,1.49,0.95,2 - 0,Kosovo,Sweden,4689283
2025-09-08,Switzerland,Slovenia,1.0,0.19,3 - 0,Switzerland,Slovenia,4689284
2025-09-08,Belarus,Scotland,0.33,2.15,0 - 2,Belarus,Scotland,4689295
2025-09-08,Greece,Denmark,0.17,1.94,0 - 3,Greece,Denmark,4689296
2025-09-08,Croatia,Montenegro,3.32,0.16,4 - 0,Croatia,Montenegro,4689374
2025-09-09,France,Iceland,2.99,0.67,2 - 1,France,Iceland,4689330
2025-09-09,Hungary,Portugal,0.48,2.38,2 - 3,Hungary,Portugal,4689354
2025-09-09,Bosnia and Herzegovina,Austria,1.92,1.3,1 - 2,Bosnia and Herzegovina,Austria,4689307
2025-09-09,Norway,Moldova,9.57,0.09,11 - 1,Norway,Moldova,4689486
2025-09-09,Serbia,England,0.08,4.22,0 - 5,Serbia,England,4689409
2025-09-09,Panama,Guatemala,1.58,0.94,1 - 1,Panama,Guatemala,4822524
2025-09-09,Ecuador,Argentina,1.69,0.41,1 - 0,Ecuador,Argentina,4196581
2025-09-09,Bolivia,Brazil,1.84,0.34,1 - 0,Bolivia,Brazil,4196561
2025-09-09,Chile,Uruguay,1.62,0.22,0 - 0,Chile,Uruguay,4196562
2025-09-09,Peru,Paraguay,0.71,0.42,0 - 1,Peru,Paraguay,4196559
2025-09-09,Venezuela,Colombia,1.21,2.14,3 - 6,Venezuela,Colombia,4196560
2025-10-09,Malta,Netherlands,0.36,3.4,0 - 4,Malta,Netherlands,4689274
2025-10-09,Belarus,Denmark,0.33,4.72,0 - 6,Belarus,Denmark,4689317
2025-10-09,Scotland,Greece,1.3,1.66,3 - 1,Scotland,Greece,4689318
2025-10-09,Austria,San Marino,5.84,0.46,10 - 0,Austria,San Marino,4689309
2025-10-09,Cyprus,Bosnia and Herzegovina,2.15,1.5,2 - 2,Cyprus,Bosnia and Herzegovina,4689310
2025-10-09,Czechia,Croatia,0.64,0.76,0 - 0,Czech Republic,Croatia,4689375
2025-10-10,Belgium,North Macedonia,3.2,0.06,0 - 0,Belgium,North Macedonia,4689447
2025-10-10,Germany,Luxembourg,3.85,0.01,4 - 0,Germany,Luxembourg,4689254
2025-10-10,Sweden,Switzerland,0.9,2.14,0 - 2,Sweden,Switzerland,4689286
2025-10-10,France,Azerbaijan,2.4,0.04,3 - 0,France,Azerbaijan,4689332
2025-10-10,Nicaragua,Haiti,0.61,0.96,0 - 3,Nicaragua,Haiti,4822552
2025-10-10,Honduras,Costa Rica,0.48,0.6,0 - 0,Honduras,Costa Rica,4822551
2025-10-10,Curacao,Jamaica,0.42,1.3,2 - 0,Curaçao,Jamaica,4822538
2025-10-11,Serbia,Albania,1.56,0.69,0 - 1,Serbia,Albania,4689411
2025-10-11,Portugal,Ireland,2.97,0.09,1 - 0,Portugal,Republic of Ireland,4689356
2025-10-11,Norway,Israel,2.26,0.15,5 - 0,Norway,Israel,4689487
2025-10-11,Bulgaria,Turkiye,0.41,1.76,1 - 6,Bulgaria,Turkey,4689343
2025-10-11,Spain,Georgia,3.83,0.0,2 - 0,Spain,Georgia,4689344
2025-10-11,El Salvador,Panama,1.29,1.09,0 - 1,El Salvador,Panama,4822526
2025-10-12,Romania,Austria,0.45,0.16,1 - 0,Romania,Austria,4689312
2025-10-12,Scotland,Belarus,1.22,1.28,2 - 1,Scotland,Belarus,4689319
2025-10-12,Denmark,Greece,1.23,1.74,3 - 1,Denmark,Greece,4689320
2025-10-12,Netherlands,Finland,2.51,0.64,4 - 0,Netherlands,Finland,4689276
2025-10-12,Lithuania,Poland,0.21,1.11,0 - 2,Lithuania,Poland,4689275
2025-10-12,Faroe Islands,Czechia,0.68,1.67,2 - 1,Faroe Islands,Czech Republic,4689377
2025-10-12,Croatia,Gibraltar,3.71,0.05,3 - 0,Croatia,Gibraltar,4689378
2025-10-13,Northern Ireland,Germany,0.6,1.12,0 - 1,Northern Ireland,Germany,4689255
2025-10-13,Slovenia,Switzerland,0.41,0.63,0 - 0,Slovenia,Switzerland,4689287
2025-10-13,Sweden,Kosovo,1.14,1.15,0 - 1,Sweden,Kosovo,4689288
2025-10-13,Iceland,France,1.12,1.96,2 - 2,Iceland,France,4689333
2025-10-13,Wales,Belgium,0.85,3.09,2 - 4,Wales,Belgium,4689449
2025-10-14,Spain,Bulgaria,3.96,0.38,4 - 0,Spain,Bulgaria,4689346
2025-10-14,Turkiye,Georgia,1.95,1.07,4 - 1,Turkey,Georgia,4689345
2025-10-14,Portugal,Hungary,2.5,1.88,2 - 2,Portugal,Hungary,4689358
2025-10-14,Andorra,Serbia,0.41,2.26,1 - 3,Andorra,Serbia,4689412
2025-10-14,Latvia,England,0.41,2.4,0 - 5,Latvia,England,4689413
2025-10-14,Honduras,Haiti,1.85,0.42,3 - 0,Honduras,Haiti,4822554
2025-10-14,Costa Rica,Nicaragua,2.51,0.2,4 - 1,Costa Rica,Nicaragua,4822553
2025-10-14,Curacao,Trinidad and Tobago,0.83,1.86,1 - 1,Curaçao,Trinidad and Tobago,4822541
2025-11-13,France,Ukraine,3.81,0.04,4 - 0,France,Ukraine,4689336
